@RELATION pacmanGameStates

@ATTRIBUTE pacmanX NUMERIC
@ATTRIBUTE pacmanY NUMERIC
@ATTRIBUTE directionPossible NUMERIC
@ATTRIBUTE ghostX NUMERIC
@ATTRIBUTE ghostY NUMERIC
@ATTRIBUTE nearestGhostDistance NUMERIC
@ATTRIBUTE minWidth NUMERIC
@ATTRIBUTE minHeight NUMERIC
@ATTRIBUTE maxWidth NUMERIC
@ATTRIBUTE maxHeight NUMERIC
@ATTRIBUTE directionTaken {0,1,2,3}
@ATTRIBUTE futureScore NUMERIC

@DATA
9.0,1.0,3.0,9.0,7.0,6.0,1.0,3.0,19.0,12.0,3,-1.0
9.0,1.0,3.0,9.0,7.0,6.0,1.0,3.0,19.0,12.0,3,-2.0
9.0,1.0,3.0,8.0,7.0,7.0,1.0,3.0,19.0,12.0,3,-3.0
9.0,1.0,3.0,7.0,7.0,8.0,1.0,3.0,19.0,12.0,3,-4.0
9.0,1.0,3.0,8.0,7.0,7.0,1.0,3.0,19.0,12.0,3,-5.0
9.0,1.0,3.0,9.0,7.0,6.0,1.0,3.0,19.0,12.0,3,94.0
10.0,1.0,3.0,11.0,7.0,7.0,1.0,3.0,19.0,12.0,3,193.0
11.0,1.0,3.0,11.0,7.0,6.0,1.0,3.0,19.0,12.0,3,292.0
12.0,1.0,3.0,10.0,7.0,8.0,1.0,3.0,19.0,12.0,3,391.0
13.0,1.0,10.0,10.0,7.0,9.0,1.0,3.0,19.0,12.0,3,390.0
13.0,1.0,10.0,10.0,8.0,10.0,1.0,3.0,19.0,12.0,3,489.0
13.0,2.0,12.0,9.0,8.0,9.0,1.0,3.0,19.0,12.0,0,588.0
13.0,3.0,14.0,9.0,7.0,8.0,1.0,3.0,19.0,12.0,0,687.0
13.0,4.0,12.0,9.0,7.0,7.0,1.0,3.0,19.0,12.0,0,786.0
13.0,5.0,12.0,10.0,7.0,5.0,1.0,3.0,19.0,12.0,0,885.0
13.0,6.0,12.0,9.0,7.0,5.0,1.0,3.0,19.0,12.0,0,984.0
13.0,7.0,12.0,8.0,7.0,5.0,1.0,3.0,19.0,12.0,0,1083.0
13.0,8.0,12.0,9.0,9.0,5.0,1.0,3.0,19.0,12.0,0,1182.0
13.0,9.0,15.0,9.0,9.0,3.0,1.0,3.0,19.0,12.0,0,1281.0
13.0,10.0,12.0,9.0,11.0,5.0,1.0,3.0,19.0,12.0,0,1380.0
13.0,11.0,6.0,10.0,11.0,3.0,1.0,3.0,19.0,12.0,0,1479.0
12.0,11.0,3.0,10.0,11.0,2.0,1.0,3.0,19.0,12.0,2,1578.0
11.0,11.0,3.0,10.0,10.0,2.0,1.0,3.0,19.0,12.0,2,1677.0
10.0,11.0,7.0,9.0,10.0,2.0,1.0,3.0,19.0,12.0,2,1776.0
9.0,11.0,7.0,10.0,10.0,2.0,1.0,3.0,19.0,12.0,2,1875.0
9.0,10.0,13.0,10.0,9.0,2.0,1.0,3.0,19.0,12.0,1,1974.0
9.0,9.0,13.0,10.0,9.0,1.0,1.0,3.0,19.0,12.0,1,2173.0
9.0,8.0,13.0,10.0,8.0,1.0,1.0,3.0,19.0,12.0,1,2372.0
10.0,8.0,14.0,9.0,7.0,2.0,1.0,3.0,19.0,12.0,3,2371.0
10.0,8.0,14.0,10.0,7.0,1.0,1.0,3.0,19.0,12.0,3,2470.0
10.0,9.0,14.0,10.0,8.0,1.0,1.0,3.0,19.0,12.0,0,2569.0
10.0,10.0,14.0,10.0,7.0,3.0,1.0,3.0,19.0,12.0,0,2568.0
10.0,11.0,7.0,10.0,7.0,4.0,1.0,3.0,19.0,12.0,0,2567.0
9.0,11.0,7.0,10.0,7.0,5.0,1.0,3.0,19.0,12.0,2,2566.0
9.0,10.0,13.0,10.0,7.0,4.0,1.0,3.0,19.0,12.0,1,2565.0
9.0,9.0,13.0,10.0,7.0,3.0,1.0,3.0,19.0,12.0,1,2564.0
9.0,8.0,13.0,10.0,8.0,1.0,1.0,3.0,19.0,12.0,1,2563.0
9.0,7.0,11.0,10.0,7.0,1.0,1.0,3.0,19.0,12.0,1,2562.0
9.0,7.0,11.0,10.0,7.0,1.0,1.0,3.0,19.0,12.0,1,2761.0
10.0,7.0,11.0,4.0,5.0,8.0,1.0,3.0,19.0,12.0,3,2760.0
11.0,7.0,2.0,4.0,5.0,9.0,1.0,3.0,19.0,12.0,3,2759.0
11.0,7.0,2.0,4.0,4.0,10.0,1.0,3.0,19.0,12.0,3,2758.0
11.0,7.0,2.0,4.0,3.0,11.0,1.0,3.0,19.0,12.0,3,2757.0
10.0,7.0,11.0,4.0,2.0,11.0,1.0,3.0,19.0,12.0,2,2756.0
9.0,7.0,11.0,4.0,2.0,10.0,1.0,3.0,19.0,12.0,2,2755.0
8.0,7.0,3.0,4.0,3.0,8.0,1.0,3.0,19.0,12.0,2,2754.0
7.0,7.0,3.0,4.0,4.0,6.0,1.0,3.0,19.0,12.0,2,2853.0
6.0,7.0,15.0,4.0,4.0,5.0,1.0,3.0,19.0,12.0,2,2952.0
6.0,6.0,14.0,3.0,4.0,5.0,1.0,3.0,19.0,12.0,1,3051.0
6.0,5.0,14.0,3.0,3.0,5.0,1.0,3.0,19.0,12.0,1,3150.0
6.0,4.0,14.0,3.0,3.0,4.0,1.0,3.0,19.0,12.0,1,3249.0
5.0,4.0,15.0,4.0,3.0,2.0,1.0,3.0,19.0,12.0,2,3348.0
4.0,4.0,15.0,3.0,3.0,2.0,1.0,3.0,19.0,12.0,0,3348.0
12.0,10.0,3.0,13.0,12.0,3.0,1.0,3.0,19.0,15.0,3,-1.0
12.0,10.0,3.0,13.0,12.0,3.0,1.0,3.0,19.0,15.0,3,-2.0
12.0,10.0,3.0,13.0,12.0,3.0,1.0,3.0,19.0,15.0,3,-3.0
12.0,10.0,3.0,13.0,12.0,2.0,1.0,3.0,19.0,15.0,3,-4.0
12.0,10.0,3.0,12.0,12.0,2.0,1.0,3.0,19.0,15.0,3,-5.0
12.0,10.0,3.0,12.0,12.0,2.0,1.0,3.0,19.0,15.0,3,-6.0
13.0,10.0,7.0,12.0,12.0,4.0,1.0,3.0,19.0,15.0,3,-7.0
14.0,10.0,7.0,11.0,12.0,4.0,1.0,3.0,19.0,15.0,3,-8.0
15.0,10.0,15.0,13.0,6.0,6.0,1.0,3.0,19.0,15.0,3,-9.0
15.0,11.0,13.0,11.0,12.0,5.0,1.0,3.0,19.0,15.0,0,-10.0
15.0,12.0,13.0,11.0,12.0,4.0,1.0,3.0,19.0,15.0,0,-11.0
15.0,13.0,13.0,11.0,12.0,5.0,1.0,3.0,19.0,15.0,0,-12.0
15.0,14.0,7.0,10.0,12.0,7.0,1.0,3.0,19.0,15.0,0,-13.0
14.0,14.0,3.0,9.0,13.0,6.0,1.0,3.0,19.0,15.0,2,-14.0
13.0,14.0,3.0,9.0,12.0,6.0,1.0,3.0,19.0,15.0,2,-15.0
12.0,14.0,3.0,10.0,12.0,4.0,1.0,3.0,19.0,15.0,2,-16.0
11.0,14.0,3.0,10.0,12.0,3.0,1.0,3.0,19.0,15.0,2,-17.0
10.0,14.0,7.0,10.0,12.0,1.0,1.0,3.0,19.0,15.0,2,182.0
10.0,13.0,14.0,11.0,12.0,2.0,1.0,3.0,19.0,15.0,1,181.0
10.0,12.0,11.0,12.0,12.0,2.0,1.0,3.0,19.0,15.0,1,180.0
10.0,12.0,11.0,12.0,12.0,2.0,1.0,3.0,19.0,15.0,1,179.0
11.0,12.0,3.0,13.0,12.0,2.0,1.0,3.0,19.0,15.0,3,378.0
12.0,12.0,3.0,15.0,5.0,10.0,1.0,3.0,19.0,15.0,3,377.0
13.0,12.0,2.0,15.0,4.0,10.0,1.0,3.0,19.0,15.0,3,376.0
12.0,12.0,3.0,16.0,4.0,12.0,1.0,3.0,19.0,15.0,2,375.0
11.0,12.0,3.0,7.0,4.0,12.0,1.0,3.0,19.0,15.0,2,374.0
10.0,12.0,11.0,6.0,4.0,12.0,1.0,3.0,19.0,15.0,2,373.0
10.0,13.0,14.0,5.0,4.0,14.0,1.0,3.0,19.0,15.0,0,372.0
10.0,14.0,7.0,5.0,3.0,16.0,1.0,3.0,19.0,15.0,0,371.0
11.0,14.0,3.0,14.0,3.0,14.0,1.0,3.0,19.0,15.0,3,370.0
12.0,14.0,3.0,13.0,3.0,12.0,1.0,3.0,19.0,15.0,3,369.0
13.0,14.0,3.0,14.0,3.0,12.0,1.0,3.0,19.0,15.0,3,368.0
14.0,14.0,3.0,14.0,3.0,11.0,1.0,3.0,19.0,15.0,3,367.0
15.0,14.0,7.0,14.0,3.0,12.0,1.0,3.0,19.0,15.0,3,366.0
15.0,13.0,13.0,13.0,3.0,12.0,1.0,3.0,19.0,15.0,1,365.0
15.0,12.0,13.0,13.0,4.0,10.0,1.0,3.0,19.0,15.0,1,364.0
15.0,11.0,13.0,13.0,4.0,9.0,1.0,3.0,19.0,15.0,1,363.0
15.0,10.0,15.0,13.0,4.0,8.0,1.0,3.0,19.0,15.0,1,362.0
15.0,9.0,15.0,13.0,4.0,7.0,1.0,3.0,19.0,15.0,1,361.0
15.0,8.0,15.0,12.0,4.0,7.0,1.0,3.0,19.0,15.0,1,360.0
15.0,7.0,15.0,11.0,4.0,7.0,1.0,3.0,19.0,15.0,1,359.0
15.0,6.0,15.0,12.0,4.0,5.0,1.0,3.0,19.0,15.0,1,358.0
15.0,5.0,15.0,13.0,4.0,3.0,1.0,3.0,19.0,15.0,1,357.0
15.0,4.0,15.0,12.0,4.0,3.0,1.0,3.0,19.0,15.0,1,356.0
14.0,4.0,15.0,12.0,4.0,2.0,1.0,3.0,19.0,15.0,2,555.0
13.0,4.0,15.0,3.0,4.0,10.0,1.0,3.0,19.0,15.0,2,554.0
12.0,4.0,15.0,2.0,4.0,10.0,1.0,3.0,19.0,15.0,2,553.0
11.0,4.0,15.0,1.0,4.0,10.0,1.0,3.0,19.0,15.0,2,552.0
10.0,4.0,13.0,1.0,3.0,10.0,1.0,3.0,19.0,15.0,2,551.0
10.0,3.0,11.0,1.0,4.0,10.0,1.0,3.0,19.0,15.0,1,550.0
10.0,3.0,11.0,1.0,4.0,10.0,1.0,3.0,19.0,15.0,1,549.0
9.0,3.0,3.0,1.0,4.0,9.0,1.0,3.0,19.0,15.0,2,548.0
8.0,3.0,11.0,2.0,4.0,7.0,1.0,3.0,19.0,15.0,2,547.0
7.0,3.0,11.0,1.0,4.0,7.0,1.0,3.0,19.0,15.0,2,546.0
6.0,3.0,11.0,1.0,4.0,6.0,1.0,3.0,19.0,15.0,2,545.0
5.0,3.0,11.0,1.0,4.0,5.0,1.0,3.0,19.0,15.0,2,544.0
4.0,3.0,11.0,1.0,5.0,5.0,1.0,3.0,19.0,15.0,2,543.0
3.0,3.0,11.0,1.0,5.0,4.0,1.0,3.0,19.0,15.0,2,542.0
3.0,4.0,15.0,1.0,4.0,2.0,1.0,3.0,19.0,15.0,0,541.0
2.0,4.0,15.0,1.0,4.0,1.0,1.0,3.0,19.0,15.0,0,541.0
1.0,3.0,9.0,2.0,8.0,6.0,1.0,3.0,8.0,11.0,0,-1.0
1.0,3.0,9.0,3.0,7.0,5.0,1.0,3.0,8.0,11.0,0,-2.0
1.0,3.0,9.0,2.0,7.0,4.0,1.0,3.0,8.0,11.0,0,-3.0
1.0,3.0,9.0,2.0,6.0,3.0,1.0,3.0,8.0,11.0,0,-4.0
1.0,3.0,9.0,2.0,5.0,2.0,1.0,3.0,8.0,11.0,0,-5.0
2.0,3.0,11.0,2.0,4.0,2.0,1.0,3.0,8.0,11.0,3,94.0
3.0,3.0,11.0,3.0,4.0,2.0,1.0,3.0,8.0,11.0,3,93.0
3.0,4.0,15.0,2.0,4.0,2.0,1.0,3.0,8.0,11.0,0,192.0
3.0,5.0,15.0,2.0,3.0,3.0,1.0,3.0,8.0,11.0,0,191.0
2.0,5.0,15.0,2.0,3.0,1.0,1.0,3.0,8.0,11.0,2,190.0
1.0,5.0,13.0,2.0,4.0,1.0,1.0,3.0,8.0,11.0,2,189.0
1.0,5.0,13.0,1.0,4.0,1.0,1.0,3.0,8.0,11.0,2,388.0
1.0,4.0,13.0,1.0,9.0,5.0,1.0,3.0,8.0,11.0,1,387.0
1.0,3.0,9.0,1.0,9.0,6.0,1.0,3.0,8.0,11.0,1,386.0
2.0,3.0,11.0,2.0,8.0,5.0,1.0,3.0,8.0,11.0,3,385.0
3.0,3.0,11.0,1.0,7.0,6.0,1.0,3.0,8.0,11.0,3,384.0
3.0,4.0,15.0,3.0,8.0,4.0,1.0,3.0,8.0,11.0,0,383.0
3.0,5.0,15.0,3.0,9.0,4.0,1.0,3.0,8.0,11.0,0,382.0
3.0,6.0,15.0,3.0,9.0,3.0,1.0,3.0,8.0,11.0,0,381.0
2.0,6.0,15.0,3.0,9.0,4.0,1.0,3.0,8.0,11.0,2,380.0
1.0,6.0,13.0,1.0,9.0,3.0,1.0,3.0,8.0,11.0,2,379.0
1.0,6.0,13.0,1.0,9.0,3.0,1.0,3.0,8.0,11.0,2,478.0
1.0,7.0,13.0,2.0,7.0,1.0,1.0,3.0,8.0,11.0,0,477.0
1.0,8.0,13.0,1.0,9.0,1.0,1.0,3.0,8.0,11.0,0,776.0
1.0,9.0,13.0,3.0,9.0,2.0,1.0,3.0,8.0,11.0,0,975.0
2.0,9.0,15.0,3.0,6.0,4.0,1.0,3.0,8.0,11.0,3,1074.0
3.0,9.0,15.0,4.0,6.0,4.0,1.0,3.0,8.0,11.0,3,1073.0
4.0,9.0,15.0,4.0,5.0,4.0,1.0,3.0,8.0,11.0,3,1072.0
4.0,8.0,15.0,4.0,5.0,3.0,1.0,3.0,8.0,11.0,1,1071.0
4.0,7.0,15.0,4.0,6.0,1.0,1.0,3.0,8.0,11.0,0,1071.0
1.0,18.0,5.0,5.0,9.0,13.0,1.0,3.0,29.0,19.0,1,-1.0
1.0,18.0,5.0,5.0,9.0,13.0,1.0,3.0,29.0,19.0,1,-2.0
1.0,18.0,5.0,6.0,9.0,14.0,1.0,3.0,29.0,19.0,1,-3.0
1.0,18.0,5.0,6.0,9.0,14.0,1.0,3.0,29.0,19.0,1,-4.0
2.0,18.0,3.0,6.0,9.0,13.0,1.0,3.0,29.0,19.0,3,-5.0
3.0,18.0,3.0,6.0,8.0,13.0,1.0,3.0,29.0,19.0,3,-6.0
4.0,18.0,3.0,6.0,7.0,13.0,1.0,3.0,29.0,19.0,3,-7.0
5.0,18.0,3.0,6.0,8.0,11.0,1.0,3.0,29.0,19.0,3,-8.0
6.0,18.0,3.0,6.0,7.0,11.0,1.0,3.0,29.0,19.0,3,-9.0
7.0,18.0,3.0,6.0,7.0,12.0,1.0,3.0,29.0,19.0,3,-10.0
8.0,18.0,3.0,6.0,7.0,13.0,1.0,3.0,29.0,19.0,3,-11.0
9.0,18.0,3.0,6.0,8.0,13.0,1.0,3.0,29.0,19.0,3,-12.0
10.0,18.0,3.0,6.0,7.0,15.0,1.0,3.0,29.0,19.0,3,-13.0
11.0,18.0,3.0,5.0,7.0,17.0,1.0,3.0,29.0,19.0,3,-14.0
12.0,18.0,3.0,6.0,7.0,17.0,1.0,3.0,29.0,19.0,3,-15.0
13.0,18.0,3.0,6.0,6.0,19.0,1.0,3.0,29.0,19.0,3,-16.0
14.0,18.0,7.0,19.0,3.0,20.0,1.0,3.0,29.0,19.0,3,-17.0
14.0,17.0,13.0,6.0,6.0,19.0,1.0,3.0,29.0,19.0,1,-18.0
14.0,16.0,15.0,20.0,4.0,17.0,1.0,3.0,29.0,19.0,1,-19.0
