@RELATION pacmanGameStates

@ATTRIBUTE pacmanX NUMERIC
@ATTRIBUTE pacmanY NUMERIC
@ATTRIBUTE directionPossible NUMERIC
@ATTRIBUTE ghostX NUMERIC
@ATTRIBUTE ghostY NUMERIC
@ATTRIBUTE nearestGhostDistance NUMERIC
@ATTRIBUTE minWidth NUMERIC
@ATTRIBUTE minHeight NUMERIC
@ATTRIBUTE maxWidth NUMERIC
@ATTRIBUTE maxHeight NUMERIC
@ATTRIBUTE directionTaken {0,1,2,3}
@ATTRIBUTE futureScore NUMERIC

@DATA
9.0,1.0,3.0,9.0,7.0,6.0,1.0,3.0,19.0,12.0,3,99.0
8.0,1.0,3.0,9.0,7.0,7.0,1.0,3.0,19.0,12.0,2,198.0
7.0,1.0,3.0,9.0,7.0,8.0,1.0,3.0,19.0,12.0,2,297.0
6.0,1.0,9.0,9.0,7.0,9.0,1.0,3.0,19.0,12.0,2,396.0
6.0,2.0,12.0,10.0,7.0,9.0,1.0,3.0,19.0,12.0,0,495.0
6.0,3.0,15.0,10.0,7.0,8.0,1.0,3.0,19.0,12.0,0,594.0
6.0,4.0,14.0,10.0,8.0,8.0,1.0,3.0,19.0,12.0,0,693.0
6.0,5.0,14.0,10.0,7.0,6.0,1.0,3.0,19.0,12.0,0,792.0
6.0,6.0,14.0,9.0,9.0,6.0,1.0,3.0,19.0,12.0,0,891.0
6.0,7.0,15.0,10.0,7.0,4.0,1.0,3.0,19.0,12.0,0,890.0
7.0,7.0,3.0,9.0,7.0,2.0,1.0,3.0,19.0,12.0,3,889.0
8.0,7.0,3.0,9.0,7.0,1.0,1.0,3.0,19.0,12.0,3,1288.0
9.0,7.0,11.0,9.0,10.0,3.0,1.0,3.0,19.0,12.0,3,1287.0
9.0,8.0,13.0,9.0,9.0,1.0,1.0,3.0,19.0,12.0,0,1586.0
9.0,9.0,13.0,10.0,11.0,3.0,1.0,3.0,19.0,12.0,0,1685.0
9.0,10.0,13.0,9.0,11.0,1.0,1.0,3.0,19.0,12.0,0,1685.0
12.0,10.0,3.0,13.0,12.0,3.0,1.0,3.0,19.0,15.0,3,-1.0
13.0,10.0,7.0,13.0,12.0,2.0,1.0,3.0,19.0,15.0,3,-2.0
14.0,10.0,7.0,13.0,12.0,3.0,1.0,3.0,19.0,15.0,3,-3.0
15.0,10.0,15.0,13.0,12.0,4.0,1.0,3.0,19.0,15.0,3,-4.0
15.0,11.0,13.0,13.0,12.0,3.0,1.0,3.0,19.0,15.0,0,-5.0
15.0,12.0,13.0,13.0,12.0,2.0,1.0,3.0,19.0,15.0,0,-6.0
15.0,13.0,13.0,13.0,12.0,3.0,1.0,3.0,19.0,15.0,0,-7.0
15.0,14.0,7.0,13.0,12.0,4.0,1.0,3.0,19.0,15.0,0,-8.0
14.0,14.0,3.0,13.0,12.0,4.0,1.0,3.0,19.0,15.0,2,-9.0
13.0,14.0,3.0,12.0,12.0,2.0,1.0,3.0,19.0,15.0,2,-10.0
12.0,14.0,3.0,13.0,12.0,3.0,1.0,3.0,19.0,15.0,2,-11.0
11.0,14.0,3.0,13.0,12.0,4.0,1.0,3.0,19.0,15.0,2,-12.0
10.0,14.0,7.0,13.0,12.0,5.0,1.0,3.0,19.0,15.0,2,-13.0
10.0,13.0,14.0,13.0,12.0,3.0,1.0,3.0,19.0,15.0,1,-14.0
10.0,12.0,11.0,12.0,12.0,1.0,1.0,3.0,19.0,15.0,1,185.0
11.0,12.0,3.0,6.0,12.0,5.0,1.0,3.0,19.0,15.0,3,184.0
10.0,12.0,11.0,7.0,12.0,3.0,1.0,3.0,19.0,15.0,2,183.0
9.0,12.0,11.0,7.0,12.0,2.0,1.0,3.0,19.0,15.0,2,382.0
8.0,12.0,11.0,10.0,5.0,9.0,1.0,3.0,19.0,15.0,2,381.0
8.0,13.0,13.0,10.0,4.0,11.0,1.0,3.0,19.0,15.0,0,380.0
8.0,14.0,7.0,10.0,5.0,11.0,1.0,3.0,19.0,15.0,0,379.0
9.0,14.0,7.0,10.0,5.0,10.0,1.0,3.0,19.0,15.0,3,378.0
10.0,14.0,7.0,10.0,4.0,10.0,1.0,3.0,19.0,15.0,3,377.0
11.0,14.0,3.0,10.0,4.0,11.0,1.0,3.0,19.0,15.0,3,376.0
12.0,14.0,3.0,10.0,5.0,11.0,1.0,3.0,19.0,15.0,3,375.0
13.0,14.0,3.0,10.0,4.0,13.0,1.0,3.0,19.0,15.0,3,374.0
14.0,14.0,3.0,11.0,4.0,13.0,1.0,3.0,19.0,15.0,3,373.0
15.0,14.0,7.0,11.0,4.0,14.0,1.0,3.0,19.0,15.0,3,372.0
15.0,13.0,13.0,12.0,4.0,12.0,1.0,3.0,19.0,15.0,1,371.0
15.0,12.0,13.0,12.0,5.0,10.0,1.0,3.0,19.0,15.0,1,370.0
15.0,11.0,13.0,13.0,5.0,8.0,1.0,3.0,19.0,15.0,1,369.0
15.0,10.0,15.0,13.0,5.0,7.0,1.0,3.0,19.0,15.0,1,368.0
15.0,9.0,15.0,13.0,5.0,6.0,1.0,3.0,19.0,15.0,1,367.0
15.0,8.0,15.0,13.0,4.0,6.0,1.0,3.0,19.0,15.0,1,366.0
15.0,7.0,15.0,13.0,3.0,6.0,1.0,3.0,19.0,15.0,1,365.0
15.0,6.0,15.0,14.0,3.0,4.0,1.0,3.0,19.0,15.0,1,364.0
15.0,5.0,15.0,14.0,3.0,3.0,1.0,3.0,19.0,15.0,1,363.0
15.0,4.0,15.0,15.0,3.0,1.0,1.0,3.0,19.0,15.0,1,562.0
15.0,3.0,11.0,4.0,5.0,13.0,1.0,3.0,19.0,15.0,1,561.0
14.0,3.0,11.0,4.0,5.0,12.0,1.0,3.0,19.0,15.0,2,560.0
13.0,3.0,11.0,4.0,6.0,12.0,1.0,3.0,19.0,15.0,2,559.0
12.0,3.0,11.0,4.0,5.0,10.0,1.0,3.0,19.0,15.0,2,558.0
11.0,3.0,11.0,4.0,4.0,8.0,1.0,3.0,19.0,15.0,2,557.0
10.0,3.0,11.0,4.0,5.0,8.0,1.0,3.0,19.0,15.0,2,556.0
9.0,3.0,3.0,4.0,6.0,8.0,1.0,3.0,19.0,15.0,2,555.0
