@RELATION pacmanGameStates

@ATTRIBUTE pacmanX NUMERIC
@ATTRIBUTE pacmanY NUMERIC
@ATTRIBUTE directionPossible NUMERIC
@ATTRIBUTE ghostX NUMERIC
@ATTRIBUTE ghostY NUMERIC
@ATTRIBUTE nearestGhostDistance NUMERIC
@ATTRIBUTE minWidth NUMERIC
@ATTRIBUTE minHeight NUMERIC
@ATTRIBUTE maxWidth NUMERIC
@ATTRIBUTE maxHeight NUMERIC
@ATTRIBUTE directionTaken {N,S,W,E}

@DATA
9.0,1.0,3.0,9.0,7.0,6.0,1.0,3.0,19.0,12.0,E
9.0,1.0,3.0,9.0,7.0,6.0,1.0,3.0,19.0,12.0,E
9.0,1.0,3.0,8.0,7.0,7.0,1.0,3.0,19.0,12.0,E
9.0,1.0,3.0,7.0,7.0,8.0,1.0,3.0,19.0,12.0,E
9.0,1.0,3.0,8.0,7.0,7.0,1.0,3.0,19.0,12.0,E
9.0,1.0,3.0,9.0,7.0,6.0,1.0,3.0,19.0,12.0,E
10.0,1.0,3.0,11.0,7.0,7.0,1.0,3.0,19.0,12.0,E
11.0,1.0,3.0,11.0,7.0,6.0,1.0,3.0,19.0,12.0,E
12.0,1.0,3.0,10.0,7.0,8.0,1.0,3.0,19.0,12.0,E
13.0,1.0,10.0,10.0,7.0,9.0,1.0,3.0,19.0,12.0,E
13.0,1.0,10.0,10.0,8.0,10.0,1.0,3.0,19.0,12.0,E
13.0,2.0,12.0,9.0,8.0,9.0,1.0,3.0,19.0,12.0,N
13.0,3.0,14.0,9.0,7.0,8.0,1.0,3.0,19.0,12.0,N
13.0,4.0,12.0,9.0,7.0,7.0,1.0,3.0,19.0,12.0,N
13.0,5.0,12.0,10.0,7.0,5.0,1.0,3.0,19.0,12.0,N
13.0,6.0,12.0,9.0,7.0,5.0,1.0,3.0,19.0,12.0,N
13.0,7.0,12.0,8.0,7.0,5.0,1.0,3.0,19.0,12.0,N
13.0,8.0,12.0,9.0,9.0,5.0,1.0,3.0,19.0,12.0,N
13.0,9.0,15.0,9.0,9.0,3.0,1.0,3.0,19.0,12.0,N
13.0,10.0,12.0,9.0,11.0,5.0,1.0,3.0,19.0,12.0,N
13.0,11.0,6.0,10.0,11.0,3.0,1.0,3.0,19.0,12.0,N
12.0,11.0,3.0,10.0,11.0,2.0,1.0,3.0,19.0,12.0,W
11.0,11.0,3.0,10.0,10.0,2.0,1.0,3.0,19.0,12.0,W
10.0,11.0,7.0,9.0,10.0,2.0,1.0,3.0,19.0,12.0,W
9.0,11.0,7.0,10.0,10.0,2.0,1.0,3.0,19.0,12.0,W
9.0,10.0,13.0,10.0,9.0,2.0,1.0,3.0,19.0,12.0,S
9.0,9.0,13.0,10.0,9.0,1.0,1.0,3.0,19.0,12.0,S
9.0,8.0,13.0,10.0,8.0,1.0,1.0,3.0,19.0,12.0,S
10.0,8.0,14.0,9.0,7.0,2.0,1.0,3.0,19.0,12.0,E
10.0,8.0,14.0,10.0,7.0,1.0,1.0,3.0,19.0,12.0,E
10.0,9.0,14.0,10.0,8.0,1.0,1.0,3.0,19.0,12.0,N
10.0,10.0,14.0,10.0,7.0,3.0,1.0,3.0,19.0,12.0,N
10.0,11.0,7.0,10.0,7.0,4.0,1.0,3.0,19.0,12.0,N
9.0,11.0,7.0,10.0,7.0,5.0,1.0,3.0,19.0,12.0,W
9.0,10.0,13.0,10.0,7.0,4.0,1.0,3.0,19.0,12.0,S
9.0,9.0,13.0,10.0,7.0,3.0,1.0,3.0,19.0,12.0,S
9.0,8.0,13.0,10.0,8.0,1.0,1.0,3.0,19.0,12.0,S
9.0,7.0,11.0,10.0,7.0,1.0,1.0,3.0,19.0,12.0,S
9.0,7.0,11.0,10.0,7.0,1.0,1.0,3.0,19.0,12.0,S
10.0,7.0,11.0,4.0,5.0,8.0,1.0,3.0,19.0,12.0,E
11.0,7.0,2.0,4.0,5.0,9.0,1.0,3.0,19.0,12.0,E
11.0,7.0,2.0,4.0,4.0,10.0,1.0,3.0,19.0,12.0,E
11.0,7.0,2.0,4.0,3.0,11.0,1.0,3.0,19.0,12.0,E
10.0,7.0,11.0,4.0,2.0,11.0,1.0,3.0,19.0,12.0,W
9.0,7.0,11.0,4.0,2.0,10.0,1.0,3.0,19.0,12.0,W
8.0,7.0,3.0,4.0,3.0,8.0,1.0,3.0,19.0,12.0,W
7.0,7.0,3.0,4.0,4.0,6.0,1.0,3.0,19.0,12.0,W
6.0,7.0,15.0,4.0,4.0,5.0,1.0,3.0,19.0,12.0,W
6.0,6.0,14.0,3.0,4.0,5.0,1.0,3.0,19.0,12.0,S
6.0,5.0,14.0,3.0,3.0,5.0,1.0,3.0,19.0,12.0,S
6.0,4.0,14.0,3.0,3.0,4.0,1.0,3.0,19.0,12.0,S
5.0,4.0,15.0,4.0,3.0,2.0,1.0,3.0,19.0,12.0,W
4.0,4.0,15.0,3.0,3.0,2.0,1.0,3.0,19.0,12.0,N
12.0,10.0,3.0,13.0,12.0,3.0,1.0,3.0,19.0,15.0,E
12.0,10.0,3.0,13.0,12.0,3.0,1.0,3.0,19.0,15.0,E
12.0,10.0,3.0,13.0,12.0,3.0,1.0,3.0,19.0,15.0,E
12.0,10.0,3.0,13.0,12.0,2.0,1.0,3.0,19.0,15.0,E
12.0,10.0,3.0,12.0,12.0,2.0,1.0,3.0,19.0,15.0,E
12.0,10.0,3.0,12.0,12.0,2.0,1.0,3.0,19.0,15.0,E
13.0,10.0,7.0,12.0,12.0,4.0,1.0,3.0,19.0,15.0,E
14.0,10.0,7.0,11.0,12.0,4.0,1.0,3.0,19.0,15.0,E
15.0,10.0,15.0,13.0,6.0,6.0,1.0,3.0,19.0,15.0,E
15.0,11.0,13.0,11.0,12.0,5.0,1.0,3.0,19.0,15.0,N
15.0,12.0,13.0,11.0,12.0,4.0,1.0,3.0,19.0,15.0,N
15.0,13.0,13.0,11.0,12.0,5.0,1.0,3.0,19.0,15.0,N
15.0,14.0,7.0,10.0,12.0,7.0,1.0,3.0,19.0,15.0,N
14.0,14.0,3.0,9.0,13.0,6.0,1.0,3.0,19.0,15.0,W
13.0,14.0,3.0,9.0,12.0,6.0,1.0,3.0,19.0,15.0,W
12.0,14.0,3.0,10.0,12.0,4.0,1.0,3.0,19.0,15.0,W
11.0,14.0,3.0,10.0,12.0,3.0,1.0,3.0,19.0,15.0,W
10.0,14.0,7.0,10.0,12.0,1.0,1.0,3.0,19.0,15.0,W
10.0,13.0,14.0,11.0,12.0,2.0,1.0,3.0,19.0,15.0,S
10.0,12.0,11.0,12.0,12.0,2.0,1.0,3.0,19.0,15.0,S
10.0,12.0,11.0,12.0,12.0,2.0,1.0,3.0,19.0,15.0,S
11.0,12.0,3.0,13.0,12.0,2.0,1.0,3.0,19.0,15.0,E
12.0,12.0,3.0,15.0,5.0,10.0,1.0,3.0,19.0,15.0,E
13.0,12.0,2.0,15.0,4.0,10.0,1.0,3.0,19.0,15.0,E
12.0,12.0,3.0,16.0,4.0,12.0,1.0,3.0,19.0,15.0,W
11.0,12.0,3.0,7.0,4.0,12.0,1.0,3.0,19.0,15.0,W
10.0,12.0,11.0,6.0,4.0,12.0,1.0,3.0,19.0,15.0,W
10.0,13.0,14.0,5.0,4.0,14.0,1.0,3.0,19.0,15.0,N
10.0,14.0,7.0,5.0,3.0,16.0,1.0,3.0,19.0,15.0,N
11.0,14.0,3.0,14.0,3.0,14.0,1.0,3.0,19.0,15.0,E
12.0,14.0,3.0,13.0,3.0,12.0,1.0,3.0,19.0,15.0,E
13.0,14.0,3.0,14.0,3.0,12.0,1.0,3.0,19.0,15.0,E
14.0,14.0,3.0,14.0,3.0,11.0,1.0,3.0,19.0,15.0,E
15.0,14.0,7.0,14.0,3.0,12.0,1.0,3.0,19.0,15.0,E
15.0,13.0,13.0,13.0,3.0,12.0,1.0,3.0,19.0,15.0,S
15.0,12.0,13.0,13.0,4.0,10.0,1.0,3.0,19.0,15.0,S
15.0,11.0,13.0,13.0,4.0,9.0,1.0,3.0,19.0,15.0,S
15.0,10.0,15.0,13.0,4.0,8.0,1.0,3.0,19.0,15.0,S
15.0,9.0,15.0,13.0,4.0,7.0,1.0,3.0,19.0,15.0,S
15.0,8.0,15.0,12.0,4.0,7.0,1.0,3.0,19.0,15.0,S
15.0,7.0,15.0,11.0,4.0,7.0,1.0,3.0,19.0,15.0,S
15.0,6.0,15.0,12.0,4.0,5.0,1.0,3.0,19.0,15.0,S
15.0,5.0,15.0,13.0,4.0,3.0,1.0,3.0,19.0,15.0,S
15.0,4.0,15.0,12.0,4.0,3.0,1.0,3.0,19.0,15.0,S
14.0,4.0,15.0,12.0,4.0,2.0,1.0,3.0,19.0,15.0,W
13.0,4.0,15.0,3.0,4.0,10.0,1.0,3.0,19.0,15.0,W
12.0,4.0,15.0,2.0,4.0,10.0,1.0,3.0,19.0,15.0,W
11.0,4.0,15.0,1.0,4.0,10.0,1.0,3.0,19.0,15.0,W
10.0,4.0,13.0,1.0,3.0,10.0,1.0,3.0,19.0,15.0,W
10.0,3.0,11.0,1.0,4.0,10.0,1.0,3.0,19.0,15.0,S
10.0,3.0,11.0,1.0,4.0,10.0,1.0,3.0,19.0,15.0,S
9.0,3.0,3.0,1.0,4.0,9.0,1.0,3.0,19.0,15.0,W
8.0,3.0,11.0,2.0,4.0,7.0,1.0,3.0,19.0,15.0,W
7.0,3.0,11.0,1.0,4.0,7.0,1.0,3.0,19.0,15.0,W
6.0,3.0,11.0,1.0,4.0,6.0,1.0,3.0,19.0,15.0,W
5.0,3.0,11.0,1.0,4.0,5.0,1.0,3.0,19.0,15.0,W
4.0,3.0,11.0,1.0,5.0,5.0,1.0,3.0,19.0,15.0,W
3.0,3.0,11.0,1.0,5.0,4.0,1.0,3.0,19.0,15.0,W
3.0,4.0,15.0,1.0,4.0,2.0,1.0,3.0,19.0,15.0,N
2.0,4.0,15.0,1.0,4.0,1.0,1.0,3.0,19.0,15.0,N
1.0,3.0,9.0,2.0,8.0,6.0,1.0,3.0,8.0,11.0,N
1.0,3.0,9.0,3.0,7.0,5.0,1.0,3.0,8.0,11.0,N
1.0,3.0,9.0,2.0,7.0,4.0,1.0,3.0,8.0,11.0,N
1.0,3.0,9.0,2.0,6.0,3.0,1.0,3.0,8.0,11.0,N
1.0,3.0,9.0,2.0,5.0,2.0,1.0,3.0,8.0,11.0,N
2.0,3.0,11.0,2.0,4.0,2.0,1.0,3.0,8.0,11.0,E
3.0,3.0,11.0,3.0,4.0,2.0,1.0,3.0,8.0,11.0,E
3.0,4.0,15.0,2.0,4.0,2.0,1.0,3.0,8.0,11.0,N
3.0,5.0,15.0,2.0,3.0,3.0,1.0,3.0,8.0,11.0,N
2.0,5.0,15.0,2.0,3.0,1.0,1.0,3.0,8.0,11.0,W
1.0,5.0,13.0,2.0,4.0,1.0,1.0,3.0,8.0,11.0,W
1.0,5.0,13.0,1.0,4.0,1.0,1.0,3.0,8.0,11.0,W
1.0,4.0,13.0,1.0,9.0,5.0,1.0,3.0,8.0,11.0,S
1.0,3.0,9.0,1.0,9.0,6.0,1.0,3.0,8.0,11.0,S
2.0,3.0,11.0,2.0,8.0,5.0,1.0,3.0,8.0,11.0,E
3.0,3.0,11.0,1.0,7.0,6.0,1.0,3.0,8.0,11.0,E
3.0,4.0,15.0,3.0,8.0,4.0,1.0,3.0,8.0,11.0,N
3.0,5.0,15.0,3.0,9.0,4.0,1.0,3.0,8.0,11.0,N
3.0,6.0,15.0,3.0,9.0,3.0,1.0,3.0,8.0,11.0,N
2.0,6.0,15.0,3.0,9.0,4.0,1.0,3.0,8.0,11.0,W
1.0,6.0,13.0,1.0,9.0,3.0,1.0,3.0,8.0,11.0,W
1.0,6.0,13.0,1.0,9.0,3.0,1.0,3.0,8.0,11.0,W
1.0,7.0,13.0,2.0,7.0,1.0,1.0,3.0,8.0,11.0,N
1.0,8.0,13.0,1.0,9.0,1.0,1.0,3.0,8.0,11.0,N
1.0,9.0,13.0,3.0,9.0,2.0,1.0,3.0,8.0,11.0,N
2.0,9.0,15.0,3.0,6.0,4.0,1.0,3.0,8.0,11.0,E
3.0,9.0,15.0,4.0,6.0,4.0,1.0,3.0,8.0,11.0,E
4.0,9.0,15.0,4.0,5.0,4.0,1.0,3.0,8.0,11.0,E
4.0,8.0,15.0,4.0,5.0,3.0,1.0,3.0,8.0,11.0,S
4.0,7.0,15.0,4.0,6.0,1.0,1.0,3.0,8.0,11.0,N
1.0,18.0,5.0,5.0,9.0,13.0,1.0,3.0,29.0,19.0,S
1.0,18.0,5.0,5.0,9.0,13.0,1.0,3.0,29.0,19.0,S
1.0,18.0,5.0,6.0,9.0,14.0,1.0,3.0,29.0,19.0,S
1.0,18.0,5.0,6.0,9.0,14.0,1.0,3.0,29.0,19.0,S
2.0,18.0,3.0,6.0,9.0,13.0,1.0,3.0,29.0,19.0,E
3.0,18.0,3.0,6.0,8.0,13.0,1.0,3.0,29.0,19.0,E
4.0,18.0,3.0,6.0,7.0,13.0,1.0,3.0,29.0,19.0,E
5.0,18.0,3.0,6.0,8.0,11.0,1.0,3.0,29.0,19.0,E
6.0,18.0,3.0,6.0,7.0,11.0,1.0,3.0,29.0,19.0,E
7.0,18.0,3.0,6.0,7.0,12.0,1.0,3.0,29.0,19.0,E
8.0,18.0,3.0,6.0,7.0,13.0,1.0,3.0,29.0,19.0,E
9.0,18.0,3.0,6.0,8.0,13.0,1.0,3.0,29.0,19.0,E
10.0,18.0,3.0,6.0,7.0,15.0,1.0,3.0,29.0,19.0,E
11.0,18.0,3.0,5.0,7.0,17.0,1.0,3.0,29.0,19.0,E
12.0,18.0,3.0,6.0,7.0,17.0,1.0,3.0,29.0,19.0,E
13.0,18.0,3.0,6.0,6.0,19.0,1.0,3.0,29.0,19.0,E
14.0,18.0,7.0,19.0,3.0,20.0,1.0,3.0,29.0,19.0,E
14.0,17.0,13.0,6.0,6.0,19.0,1.0,3.0,29.0,19.0,S
14.0,16.0,15.0,20.0,4.0,17.0,1.0,3.0,29.0,19.0,S
13.0,16.0,7.0,6.0,7.0,16.0,1.0,3.0,29.0,19.0,W
12.0,16.0,7.0,5.0,7.0,16.0,1.0,3.0,29.0,19.0,W
11.0,16.0,7.0,5.0,7.0,15.0,1.0,3.0,29.0,19.0,W
10.0,16.0,7.0,5.0,6.0,15.0,1.0,3.0,29.0,19.0,W
10.0,15.0,15.0,5.0,7.0,13.0,1.0,3.0,29.0,19.0,S
10.0,14.0,14.0,5.0,6.0,13.0,1.0,3.0,29.0,19.0,S
10.0,13.0,14.0,4.0,6.0,13.0,1.0,3.0,29.0,19.0,S
10.0,12.0,15.0,5.0,6.0,11.0,1.0,3.0,29.0,19.0,S
10.0,11.0,15.0,5.0,5.0,11.0,1.0,3.0,29.0,19.0,S
10.0,10.0,15.0,4.0,5.0,11.0,1.0,3.0,29.0,19.0,S
10.0,9.0,15.0,3.0,5.0,11.0,1.0,3.0,29.0,19.0,S
10.0,8.0,15.0,5.0,4.0,9.0,1.0,3.0,29.0,19.0,S
9.0,8.0,15.0,5.0,4.0,8.0,1.0,3.0,29.0,19.0,W
8.0,8.0,13.0,4.0,4.0,8.0,1.0,3.0,29.0,19.0,W
8.0,8.0,13.0,4.0,4.0,8.0,1.0,3.0,29.0,19.0,W
8.0,7.0,13.0,4.0,3.0,8.0,1.0,3.0,29.0,19.0,S
8.0,6.0,15.0,5.0,3.0,6.0,1.0,3.0,29.0,19.0,S
7.0,6.0,3.0,4.0,3.0,6.0,1.0,3.0,29.0,19.0,W
6.0,6.0,11.0,4.0,3.0,5.0,1.0,3.0,29.0,19.0,W
5.0,6.0,15.0,3.0,3.0,5.0,1.0,3.0,29.0,19.0,W
4.0,6.0,15.0,3.0,4.0,3.0,1.0,3.0,29.0,19.0,W
3.0,6.0,15.0,3.0,3.0,3.0,1.0,3.0,29.0,19.0,W
3.0,5.0,15.0,3.0,3.0,2.0,1.0,3.0,29.0,19.0,S
3.0,4.0,15.0,3.0,3.0,1.0,1.0,3.0,29.0,19.0,S
3.0,3.0,11.0,6.0,3.0,3.0,1.0,3.0,29.0,19.0,S
4.0,3.0,11.0,6.0,3.0,2.0,1.0,3.0,29.0,19.0,E
5.0,3.0,11.0,6.0,3.0,1.0,1.0,3.0,29.0,19.0,E
