@RELATION pacmanGameStates

@ATTRIBUTE numActions NUMERIC
@ATTRIBUTE pacmanX NUMERIC
@ATTRIBUTE pacmanY NUMERIC
@ATTRIBUTE directionPossible NUMERIC
@ATTRIBUTE ghostX NUMERIC
@ATTRIBUTE ghostY NUMERIC
@ATTRIBUTE nearestGhostDistance NUMERIC
@ATTRIBUTE numFood NUMERIC
@ATTRIBUTE distFood NUMERIC
@ATTRIBUTE score NUMERIC
@ATTRIBUTE directionTaken {N,S,W,E,X}

@DATA
1.0,9.0,1.0,7.0,9.0,7.0,6.0,114.0,1.0,0.0,X
2.0,8.0,1.0,7.0,8.0,7.0,6.0,113.0,1.0,99.0,W
3.0,7.0,1.0,7.0,8.0,7.0,7.0,112.0,1.0,198.0,W
4.0,6.0,1.0,19.0,8.0,7.0,8.0,111.0,1.0,297.0,W
5.0,6.0,2.0,25.0,8.0,7.0,7.0,110.0,1.0,396.0,N
6.0,6.0,3.0,31.0,7.0,7.0,5.0,109.0,1.0,495.0,N
7.0,6.0,4.0,29.0,7.0,7.0,4.0,108.0,1.0,594.0,N
8.0,6.0,5.0,29.0,6.0,7.0,2.0,107.0,1.0,693.0,N
9.0,6.0,6.0,29.0,6.0,8.0,2.0,106.0,1.0,792.0,N
10.0,6.0,7.0,31.0,6.0,9.0,2.0,105.0,1.0,891.0,N
11.0,6.0,8.0,25.0,6.0,9.0,1.0,104.0,1.0,990.0,N
12.0,6.0,9.0,31.0,10.0,8.0,4.0,103.0,1.0,1289.0,N
13.0,6.0,8.0,25.0,9.0,7.0,4.0,103.0,2.0,1288.0,S
14.0,6.0,7.0,31.0,9.0,7.0,3.0,103.0,1.0,1287.0,S
15.0,7.0,7.0,7.0,10.0,7.0,3.0,103.0,2.0,1286.0,E
16.0,8.0,7.0,7.0,10.0,7.0,2.0,103.0,3.0,1285.0,E
17.0,9.0,7.0,23.0,11.0,7.0,2.0,103.0,2.0,1284.0,E
18.0,10.0,7.0,23.0,11.0,7.0,1.0,103.0,2.0,1283.0,E
19.0,11.0,7.0,5.0,9.0,8.0,2.0,103.0,2.0,1482.0,E
20.0,10.0,7.0,23.0,9.0,9.0,3.0,103.0,2.0,1681.0,W
21.0,10.0,8.0,29.0,9.0,9.0,2.0,103.0,1.0,1680.0,N
22.0,10.0,9.0,29.0,9.0,9.0,1.0,102.0,1.0,1779.0,X
1.0,12.0,10.0,7.0,13.0,12.0,3.0,0.0,0.0,0.0,X
2.0,13.0,10.0,15.0,13.0,12.0,2.0,0.0,0.0,-1.0,E
3.0,14.0,10.0,15.0,13.0,12.0,3.0,0.0,0.0,-2.0,E
4.0,15.0,10.0,31.0,13.0,12.0,5.0,0.0,0.0,-3.0,E
5.0,15.0,11.0,27.0,12.0,12.0,4.0,0.0,0.0,-4.0,N
6.0,15.0,12.0,27.0,12.0,12.0,2.0,0.0,0.0,-5.0,N
7.0,15.0,13.0,27.0,13.0,12.0,3.0,0.0,0.0,-6.0,N
8.0,15.0,14.0,15.0,13.0,12.0,5.0,0.0,0.0,-7.0,N
9.0,14.0,14.0,7.0,12.0,12.0,3.0,0.0,0.0,-8.0,W
10.0,13.0,14.0,7.0,13.0,12.0,2.0,0.0,0.0,-9.0,W
11.0,12.0,14.0,7.0,13.0,12.0,3.0,0.0,0.0,-10.0,W
12.0,11.0,14.0,7.0,13.0,12.0,3.0,0.0,0.0,-11.0,W
13.0,10.0,14.0,15.0,8.0,12.0,4.0,0.0,0.0,-12.0,W
14.0,10.0,13.0,29.0,9.0,12.0,2.0,0.0,0.0,-13.0,S
15.0,10.0,12.0,23.0,9.0,13.0,2.0,0.0,0.0,-14.0,S
16.0,10.0,13.0,29.0,13.0,12.0,4.0,0.0,0.0,185.0,N
17.0,10.0,12.0,23.0,13.0,12.0,3.0,0.0,0.0,184.0,S
18.0,11.0,12.0,7.0,13.0,12.0,1.0,0.0,0.0,183.0,E
19.0,12.0,12.0,7.0,10.0,3.0,11.0,0.0,0.0,382.0,E
20.0,11.0,12.0,7.0,11.0,3.0,9.0,0.0,0.0,381.0,W
21.0,10.0,12.0,23.0,12.0,3.0,11.0,0.0,0.0,380.0,W
22.0,10.0,13.0,29.0,12.0,4.0,11.0,0.0,0.0,379.0,N
23.0,10.0,14.0,15.0,12.0,4.0,12.0,0.0,0.0,378.0,N
24.0,11.0,14.0,7.0,12.0,5.0,10.0,0.0,0.0,377.0,E
25.0,12.0,14.0,7.0,13.0,5.0,10.0,0.0,0.0,376.0,E
26.0,13.0,14.0,7.0,13.0,4.0,10.0,0.0,0.0,375.0,E
27.0,14.0,14.0,7.0,13.0,3.0,12.0,0.0,0.0,374.0,E
28.0,15.0,14.0,15.0,13.0,4.0,12.0,0.0,0.0,373.0,E
29.0,15.0,13.0,27.0,14.0,4.0,10.0,0.0,0.0,372.0,S
30.0,15.0,12.0,27.0,13.0,4.0,10.0,0.0,0.0,371.0,S
31.0,15.0,11.0,27.0,12.0,4.0,10.0,0.0,0.0,370.0,S
32.0,15.0,10.0,31.0,12.0,3.0,10.0,0.0,0.0,369.0,S
33.0,15.0,9.0,31.0,12.0,3.0,9.0,0.0,0.0,368.0,S
34.0,15.0,8.0,31.0,12.0,3.0,8.0,0.0,0.0,367.0,S
35.0,15.0,7.0,31.0,12.0,4.0,6.0,0.0,0.0,366.0,S
36.0,15.0,6.0,31.0,12.0,5.0,4.0,0.0,0.0,365.0,S
37.0,15.0,5.0,31.0,12.0,6.0,4.0,0.0,0.0,364.0,S
38.0,15.0,6.0,31.0,13.0,6.0,2.0,0.0,0.0,363.0,N
39.0,14.0,6.0,31.0,2.0,6.0,12.0,0.0,0.0,562.0,W
40.0,14.0,7.0,27.0,3.0,6.0,12.0,0.0,0.0,561.0,N
