@RELATION pacmanGameStates

@ATTRIBUTE pacmanX NUMERIC
@ATTRIBUTE pacmanY NUMERIC
@ATTRIBUTE directionPossible NUMERIC
@ATTRIBUTE ghostX NUMERIC
@ATTRIBUTE ghostY NUMERIC
@ATTRIBUTE nearestGhostDistance NUMERIC
@ATTRIBUTE minWidth NUMERIC
@ATTRIBUTE minHeight NUMERIC
@ATTRIBUTE maxWidth NUMERIC
@ATTRIBUTE maxHeight NUMERIC
@ATTRIBUTE directionTaken {N,S,W,E}
@ATTRIBUTE futureScore NUMERIC

@DATA
9,1,3,9,7,6,1,3,19,12,E,-1
9,1,3,9,7,6,1,3,19,12,E,-2
9,1,3,8,7,7,1,3,19,12,E,-3
9,1,3,7,7,8,1,3,19,12,E,-4
9,1,3,8,7,7,1,3,19,12,E,-5
9,1,3,9,7,6,1,3,19,12,E,94
10,1,3,11,7,7,1,3,19,12,E,193
11,1,3,11,7,6,1,3,19,12,E,292
12,1,3,10,7,8,1,3,19,12,E,391
13,1,10,10,7,9,1,3,19,12,E,390
13,1,10,10,8,10,1,3,19,12,E,489
13,2,12,9,8,9,1,3,19,12,N,588
13,3,14,9,7,8,1,3,19,12,N,687
13,4,12,9,7,7,1,3,19,12,N,786
13,5,12,10,7,5,1,3,19,12,N,885
13,6,12,9,7,5,1,3,19,12,N,984
13,7,12,8,7,5,1,3,19,12,N,1083
13,8,12,9,9,5,1,3,19,12,N,1182
13,9,15,9,9,3,1,3,19,12,N,1281
13,10,12,9,11,5,1,3,19,12,N,1380
13,11,6,10,11,3,1,3,19,12,N,1479
12,11,3,10,11,2,1,3,19,12,W,1578
11,11,3,10,10,2,1,3,19,12,W,1677
10,11,7,9,10,2,1,3,19,12,W,1776
9,11,7,10,10,2,1,3,19,12,W,1875
9,10,13,10,9,2,1,3,19,12,S,1974
9,9,13,10,9,1,1,3,19,12,S,2173
9,8,13,10,8,1,1,3,19,12,S,2372
10,8,14,9,7,2,1,3,19,12,E,2371
10,8,14,10,7,1,1,3,19,12,E,2470
10,9,14,10,8,1,1,3,19,12,N,2569
10,10,14,10,7,3,1,3,19,12,N,2568
10,11,7,10,7,4,1,3,19,12,N,2567
