@RELATION pacmanGameStates

@ATTRIBUTE pacmanX NUMERIC
@ATTRIBUTE pacmanY NUMERIC
@ATTRIBUTE directionPossible NUMERIC
@ATTRIBUTE ghostX NUMERIC
@ATTRIBUTE ghostY NUMERIC
@ATTRIBUTE nearestGhostDistance NUMERIC
@ATTRIBUTE minWidth NUMERIC
@ATTRIBUTE minHeight NUMERIC
@ATTRIBUTE maxWidth NUMERIC
@ATTRIBUTE maxHeight NUMERIC
@ATTRIBUTE directionTaken {N,S,W,E}
@ATTRIBUTE futureScore NUMERIC

@DATA
9,1,3,9,7,6,1,3,19,12,E,99
8,1,3,9,7,7,1,3,19,12,W,198
7,1,3,9,7,8,1,3,19,12,W,297
6,1,9,9,7,9,1,3,19,12,W,396
6,2,12,10,7,9,1,3,19,12,N,495
6,3,15,10,7,8,1,3,19,12,N,594
6,4,14,10,8,8,1,3,19,12,N,693
6,5,14,10,7,6,1,3,19,12,N,792
6,6,14,9,9,6,1,3,19,12,N,891
6,7,15,10,7,4,1,3,19,12,N,890
7,7,3,9,7,2,1,3,19,12,E,889
8,7,3,9,7,1,1,3,19,12,E,1288
9,7,11,9,10,3,1,3,19,12,E,1287
9,8,13,9,9,1,1,3,19,12,N,1586
9,9,13,10,11,3,1,3,19,12,N,1685
9,10,13,9,11,1,1,3,19,12,N,1685
12,10,3,13,12,3,1,3,19,15,E,-1
13,10,7,13,12,2,1,3,19,15,E,-2
14,10,7,13,12,3,1,3,19,15,E,-3
15,10,15,13,12,4,1,3,19,15,E,-4
15,11,13,13,12,3,1,3,19,15,N,-5
15,12,13,13,12,2,1,3,19,15,N,-6
15,13,13,13,12,3,1,3,19,15,N,-7
15,14,7,13,12,4,1,3,19,15,N,-8
14,14,3,13,12,4,1,3,19,15,W,-9
13,14,3,12,12,2,1,3,19,15,W,-10
12,14,3,13,12,3,1,3,19,15,W,-11
11,14,3,13,12,4,1,3,19,15,W,-12
10,14,7,13,12,5,1,3,19,15,W,-13
10,13,14,13,12,3,1,3,19,15,S,-14
10,12,11,12,12,1,1,3,19,15,S,185
11,12,3,6,12,5,1,3,19,15,E,184
10,12,11,7,12,3,1,3,19,15,W,183
9,12,11,7,12,2,1,3,19,15,W,382
8,12,11,10,5,9,1,3,19,15,W,381
8,13,13,10,4,11,1,3,19,15,N,380
8,14,7,10,5,11,1,3,19,15,N,379
9,14,7,10,5,10,1,3,19,15,E,378
10,14,7,10,4,10,1,3,19,15,E,377
11,14,3,10,4,11,1,3,19,15,E,376
12,14,3,10,5,11,1,3,19,15,E,375
13,14,3,10,4,13,1,3,19,15,E,374
14,14,3,11,4,13,1,3,19,15,E,373
15,14,7,11,4,14,1,3,19,15,E,372
15,13,13,12,4,12,1,3,19,15,S,371
15,12,13,12,5,10,1,3,19,15,S,370
15,11,13,13,5,8,1,3,19,15,S,369
15,10,15,13,5,7,1,3,19,15,S,368
15,9,15,13,5,6,1,3,19,15,S,367
15,8,15,13,4,6,1,3,19,15,S,366
15,7,15,13,3,6,1,3,19,15,S,365
15,6,15,14,3,4,1,3,19,15,S,364
15,5,15,14,3,3,1,3,19,15,S,363
15,4,15,15,3,1,1,3,19,15,S,562
15,3,11,4,5,13,1,3,19,15,S,561
14,3,11,4,5,12,1,3,19,15,W,560
13,3,11,4,6,12,1,3,19,15,W,559
12,3,11,4,5,10,1,3,19,15,W,558
11,3,11,4,4,8,1,3,19,15,W,557
10,3,11,4,5,8,1,3,19,15,W,556
9,3,3,4,6,8,1,3,19,15,W,555
8,3,11,4,6,7,1,3,19,15,W,554
8,4,14,4,6,6,1,3,19,15,N,553
8,5,14,4,7,6,1,3,19,15,N,552
8,6,6,4,7,5,1,3,19,15,N,551
7,6,7,4,6,3,1,3,19,15,W,550
6,6,7,3,6,3,1,3,19,15,W,549
5,6,7,2,6,3,1,3,19,15,W,548
4,6,15,1,6,3,1,3,19,15,W,547
3,6,15,2,6,1,1,3,19,15,N,547
1,3,9,2,8,6,1,3,8,11,N,-1
1,4,13,1,8,4,1,3,8,11,N,-2
1,5,13,1,7,2,1,3,8,11,N,-3
1,6,13,1,7,1,1,3,8,11,N,296
1,7,13,3,6,2,1,3,8,11,N,295
2,7,15,2,6,2,1,3,8,11,E,294
2,6,15,1,6,1,1,3,8,11,S,493
1,6,13,1,9,3,1,3,8,11,W,492
1,7,13,1,8,1,1,3,8,11,N,691
1,8,13,4,9,4,1,3,8,11,N,790
1,9,13,5,9,4,1,3,8,11,N,789
2,9,15,5,10,4,1,3,8,11,E,788
2,10,7,5,10,3,1,3,8,11,N,787
3,10,7,6,10,3,1,3,8,11,E,786
4,10,7,6,10,2,1,3,8,11,E,785
5,10,7,7,10,2,1,3,8,11,N,785
1,18,5,5,9,13,1,3,29,19,S,-1
1,17,12,4,9,11,1,3,29,19,S,-2
1,16,13,4,10,9,1,3,29,19,S,-3
1,15,13,5,10,9,1,3,29,19,S,-4
1,14,13,6,10,9,1,3,29,19,S,-5
1,13,12,6,10,8,1,3,29,19,S,-6
1,12,13,5,10,6,1,3,29,19,S,-7
1,11,12,5,10,5,1,3,29,19,S,-8
1,10,12,5,10,4,1,3,29,19,S,-9
1,9,12,5,9,4,1,3,29,19,S,-10
1,8,12,5,10,6,1,3,29,19,S,-11
1,7,12,4,10,6,1,3,29,19,S,-12
1,6,13,4,10,7,1,3,29,19,S,-13
2,6,7,4,10,6,1,3,29,19,E,-14
3,6,15,4,9,4,1,3,29,19,E,-15
3,7,13,4,8,2,1,3,29,19,N,-16
3,8,13,4,8,1,1,3,29,19,N,183
4,8,15,8,5,7,1,3,29,19,E,182
5,8,15,8,4,7,1,3,29,19,E,181
6,8,14,9,4,7,1,3,29,19,E,180
6,7,14,9,4,6,1,3,29,19,S,179
6,6,11,9,5,4,1,3,29,19,S,178
7,6,3,8,5,2,1,3,29,19,E,377
8,6,15,19,4,13,1,3,29,19,E,376
8,7,13,20,4,15,1,3,29,19,N,375
8,8,13,20,5,15,1,3,29,19,N,374
8,9,13,19,5,15,1,3,29,19,N,373
8,10,13,19,6,15,1,3,29,19,N,372
8,11,13,20,6,17,1,3,29,19,N,371
8,12,15,21,6,19,1,3,29,19,N,370
9,12,15,22,6,19,1,3,29,19,E,369
10,12,15,22,6,18,1,3,29,19,E,368
11,12,7,23,6,18,1,3,29,19,E,367
12,12,3,23,5,18,1,3,29,19,E,366
13,12,7,23,4,18,1,3,29,19,E,365
14,12,15,28,9,16,1,3,29,19,E,364
15,12,7,23,5,15,1,3,29,19,E,363
16,12,7,23,5,14,1,3,29,19,E,362
17,12,15,23,5,13,1,3,29,19,E,361
18,12,15,23,6,11,1,3,29,19,E,360
19,12,15,23,7,9,1,3,29,19,E,359
20,12,14,23,7,8,1,3,29,19,E,358
20,11,14,23,6,8,1,3,29,19,S,357
