@RELATION pacmanGameStates

@ATTRIBUTE numActions NUMERIC
@ATTRIBUTE pacmanX NUMERIC
@ATTRIBUTE pacmanY NUMERIC
@ATTRIBUTE directionPossible NUMERIC
@ATTRIBUTE ghostX NUMERIC
@ATTRIBUTE ghostY NUMERIC
@ATTRIBUTE nearestGhostDistance NUMERIC
@ATTRIBUTE numFood NUMERIC
@ATTRIBUTE distFood NUMERIC
@ATTRIBUTE score NUMERIC
@ATTRIBUTE futureScore NUMERIC
@ATTRIBUTE directionTaken {N,S,W,E,X}

@DATA
1,9,1,7,9,7,6,114,1,0,-1,X
2,9,1,7,8,7,7,114,1,-1,-2,X
3,9,1,7,9,7,6,114,1,-2,97,X
4,8,1,7,7,7,7,113,1,97,196,W
5,7,1,7,7,7,6,112,1,196,295,W
6,6,1,19,6,7,6,111,1,295,394,W
7,6,2,25,6,6,4,110,1,394,493,N
8,6,3,31,6,7,4,109,1,493,592,N
9,6,4,29,6,8,4,108,1,592,691,N
10,6,5,29,6,7,2,107,1,691,790,N
11,6,6,29,6,8,2,106,1,790,1089,N
12,6,7,31,8,7,2,105,1,1089,1088,N
13,7,7,7,8,7,1,105,2,1088,1287,E
14,8,7,7,9,7,1,105,3,1287,1287,X
1,12,10,7,13,12,3,0,0,0,-1,X
2,12,10,7,13,12,3,0,0,-1,-2,X
3,12,10,7,13,12,2,0,0,-2,-3,X
4,12,10,7,12,12,2,0,0,-3,-4,X
5,11,10,7,12,12,4,0,0,-4,-5,W
6,10,10,7,7,12,5,0,0,-5,-6,W
7,9,10,7,6,12,5,0,0,-6,-7,W
8,8,10,7,5,12,5,0,0,-7,-8,W
9,7,10,7,5,12,4,0,0,-8,-9,W
10,6,10,7,6,12,2,0,0,-9,-10,W
11,5,10,15,6,12,3,0,0,-10,-11,W
12,4,10,15,5,12,3,0,0,-11,-12,W
13,3,10,31,6,12,5,0,0,-12,-13,W
14,3,11,29,6,12,4,0,0,-13,-14,N
15,3,12,29,6,12,3,0,0,-14,-15,N
16,3,13,29,7,12,5,0,0,-15,-16,N
17,3,14,15,7,12,6,0,0,-16,-17,N
18,4,14,7,8,12,6,0,0,-17,-18,E
19,5,14,7,8,13,4,0,0,-18,-19,E
20,6,14,7,8,13,3,0,0,-19,-20,E
21,7,14,7,9,13,3,0,0,-20,-21,E
22,8,14,15,10,13,2,0,0,-21,178,E
23,9,14,15,10,13,2,0,0,178,377,E
24,9,13,31,6,4,12,0,0,377,376,S
25,9,12,23,7,4,10,0,0,376,375,S
26,10,12,23,8,4,10,0,0,375,374,E
27,10,13,29,7,4,12,0,0,374,373,N
28,10,14,15,7,3,14,0,0,373,372,N
29,9,14,15,8,3,12,0,0,372,371,W
30,8,14,15,8,3,11,0,0,371,370,W
31,9,14,15,8,3,12,0,0,370,369,E
32,10,14,15,8,4,12,0,0,369,368,E
33,11,14,7,7,4,14,0,0,368,367,E
34,12,14,7,8,4,14,0,0,367,366,E
35,13,14,7,8,5,14,0,0,366,365,E
36,14,14,7,17,4,13,0,0,365,364,E
37,15,14,15,17,3,13,0,0,364,363,E
38,16,14,15,16,3,11,0,0,363,362,E
39,16,13,31,15,3,11,0,0,362,361,S
40,16,12,31,15,4,9,0,0,361,360,S
41,16,11,31,15,5,7,0,0,360,359,S
42,16,10,31,15,4,7,0,0,359,358,S
43,16,9,31,15,5,5,0,0,358,357,S
44,16,8,31,15,5,4,0,0,357,356,S
45,16,7,31,15,4,4,0,0,356,355,S
46,16,6,31,15,3,4,0,0,355,354,S
47,16,5,31,15,3,3,0,0,354,353,S
48,15,5,31,15,3,2,0,0,353,352,W
49,14,5,31,16,3,4,0,0,352,351,W
50,14,4,31,17,3,4,0,0,351,350,S
