@RELATION pacmanGameStates

@ATTRIBUTE pacmanX NUMERIC
@ATTRIBUTE pacmanY NUMERIC
@ATTRIBUTE directionPossible NUMERIC
@ATTRIBUTE minWidth NUMERIC
@ATTRIBUTE minHeight NUMERIC
@ATTRIBUTE maxWidth NUMERIC
@ATTRIBUTE maxHeight NUMERIC
@ATTRIBUTE ghostX NUMERIC
@ATTRIBUTE ghostY NUMERIC
@ATTRIBUTE nearestGhostDistance NUMERIC
@ATTRIBUTE directionTaken {N,S,W,E}

@DATA
9,1,3,9,7,1,3,19,12,6,E
8,1,3,8,7,1,3,19,12,6,W
7,1,3,8,7,1,3,19,12,7,W
6,1,9,8,7,1,3,19,12,8,W
6,2,12,7,7,1,3,19,12,6,N
6,3,15,6,7,1,3,19,12,4,N
6,4,14,7,7,1,3,19,12,4,N
6,5,14,6,7,1,3,19,12,2,N
6,6,14,5,7,1,3,19,12,2,N
6,7,15,5,7,1,3,19,12,1,N
5,7,7,10,7,1,3,19,12,5,W
6,7,15,9,7,1,3,19,12,3,E
7,7,3,9,7,1,3,19,12,2,E
8,7,3,9,10,1,3,19,12,4,E
9,7,11,9,10,1,3,19,12,2,E
9,8,13,9,10,1,3,19,12,2,N
9,9,13,10,9,1,3,19,12,1,N
10,9,14,10,11,1,3,19,12,2,E
12,10,3,13,12,1,3,19,15,3,E
13,10,7,13,12,1,3,19,15,3,E
14,10,7,13,6,1,3,19,15,5,E
14,9,15,12,6,1,3,19,15,5,S
14,8,15,12,6,1,3,19,15,4,S
14,7,13,12,5,1,3,19,15,4,S
14,6,15,12,6,1,3,19,15,2,S
13,6,7,12,5,1,3,19,15,2,W
13,5,15,11,5,1,3,19,15,2,S
12,5,15,11,6,1,3,19,15,2,W
12,6,7,10,6,1,3,19,15,2,N
11,6,7,13,12,1,3,19,15,7,W
12,6,7,12,12,1,3,19,15,6,E
13,6,7,12,12,1,3,19,15,6,E
14,6,15,13,12,1,3,19,15,7,E
14,7,13,13,12,1,3,19,15,7,N
14,8,15,12,12,1,3,19,15,5,N
14,9,15,13,12,1,3,19,15,5,N
14,10,7,12,12,1,3,19,15,4,N
15,10,15,12,12,1,3,19,15,4,E
15,11,13,13,12,1,3,19,15,3,N
15,12,13,13,12,1,3,19,15,2,N
15,13,13,13,12,1,3,19,15,4,N
15,14,7,12,12,1,3,19,15,4,N
14,14,3,13,12,1,3,19,15,3,W
13,14,3,13,12,1,3,19,15,3,W
12,14,3,12,12,1,3,19,15,3,W
11,14,3,11,12,1,3,19,15,3,W
10,14,7,9,13,1,3,19,15,2,W
10,13,14,9,12,1,3,19,15,2,S
10,12,11,9,12,1,3,19,15,1,S
9,12,11,8,10,1,3,19,15,3,W
9,13,15,7,10,1,3,19,15,5,N
9,14,7,8,10,1,3,19,15,5,N
8,14,7,9,10,1,3,19,15,5,W
7,14,3,9,10,1,3,19,15,6,W
6,14,3,8,10,1,3,19,15,6,W
5,14,3,8,10,1,3,19,15,7,W
4,14,3,9,10,1,3,19,15,9,W
3,14,7,10,10,1,3,19,15,11,W
3,13,14,10,10,1,3,19,15,10,S
