@RELATION pacmanGameStates

@ATTRIBUTE numActions NUMERIC
@ATTRIBUTE pacmanX NUMERIC
@ATTRIBUTE pacmanY NUMERIC
@ATTRIBUTE directionPossible NUMERIC
@ATTRIBUTE ghostX NUMERIC
@ATTRIBUTE ghostY NUMERIC
@ATTRIBUTE nearestGhostDistance NUMERIC
@ATTRIBUTE numFood NUMERIC
@ATTRIBUTE distFood NUMERIC
@ATTRIBUTE score NUMERIC
@ATTRIBUTE futureScore NUMERIC
@ATTRIBUTE directionTaken {N,S,W,E,X}

@DATA
1,9,1,7,9,7,6,114,1,0,99,X
2,8,1,7,8,7,6,113,1,99,198,W
3,7,1,7,8,7,7,112,1,198,297,W
4,6,1,19,8,7,8,111,1,297,396,W
5,6,2,25,8,7,7,110,1,396,495,N
6,6,3,31,7,7,5,109,1,495,594,N
7,6,4,29,7,7,4,108,1,594,693,N
8,6,5,29,6,7,2,107,1,693,792,N
9,6,6,29,6,8,2,106,1,792,891,N
10,6,7,31,6,9,2,105,1,891,990,N
11,6,8,25,6,9,1,104,1,990,1289,N
12,6,9,31,10,8,4,103,1,1289,1288,N
13,6,8,25,9,7,4,103,2,1288,1287,S
14,6,7,31,9,7,3,103,1,1287,1286,S
15,7,7,7,10,7,3,103,2,1286,1285,E
16,8,7,7,10,7,2,103,3,1285,1284,E
17,9,7,23,11,7,2,103,2,1284,1283,E
18,10,7,23,11,7,1,103,2,1283,1482,E
19,11,7,5,9,8,2,103,2,1482,1681,E
20,10,7,23,9,9,3,103,2,1681,1680,W
21,10,8,29,9,9,2,103,1,1680,1779,N
22,10,9,29,9,9,1,102,1,1779,1779,X
