@RELATION pacmanGameStates

@ATTRIBUTE pacmanX NUMERIC
@ATTRIBUTE pacmanY NUMERIC
@ATTRIBUTE directionPossible NUMERIC
@ATTRIBUTE ghostX NUMERIC
@ATTRIBUTE ghostY NUMERIC
@ATTRIBUTE nearestGhostDistance NUMERIC
@ATTRIBUTE directionTaken {N,S,W,E,X}

@DATA
12,10,31,13,12,3,X
12,11,31,13,12,1,N
12,12,31,13,11,3,N
13,12,31,14,11,2,E
14,12,31,12,6,8,E
14,11,31,12,5,8,S
14,10,31,12,6,6,S
14,9,31,13,6,4,S
14,8,31,12,6,4,S
14,7,31,13,6,2,S
14,6,31,13,6,1,S
13,6,31,9,7,5,W
13,7,31,9,8,5,N
13,8,31,8,8,5,N
12,8,31,8,9,5,W
12,9,31,9,9,3,N
11,9,31,9,9,2,W
10,9,31,6,12,7,W
10,10,31,6,13,7,N
10,11,31,6,13,6,N
10,12,31,6,12,4,N
9,12,31,6,11,4,W
9,11,31,7,11,2,S
12,10,31,13,12,3,X
12,11,31,13,12,3,N
12,12,31,14,12,1,N
13,12,31,13,6,6,E
13,11,31,13,7,4,S
13,10,31,13,8,2,S
13,9,31,14,8,2,S
14,9,31,14,8,1,E
14,8,31,6,5,11,S
14,7,31,7,5,9,S
14,6,31,7,6,7,S
13,6,31,7,6,6,W
12,6,31,8,6,4,W
11,6,31,9,6,2,W
10,6,31,9,6,1,W
9,6,31,4,12,11,W
9,7,31,4,11,9,N
9,8,31,5,11,7,N
9,9,31,5,12,7,N
9,10,31,5,13,7,N
9,11,31,5,14,7,N
9,12,31,5,13,5,N
9,13,31,4,13,5,N
8,13,31,4,13,4,W
7,13,31,4,13,3,W
6,13,31,4,12,3,W
6,12,31,4,11,3,S
6,11,31,4,11,2,S
5,11,23,3,11,2,W
4,11,23,3,12,2,W
12,10,31,13,12,3,X
12,11,31,13,12,2,N
12,12,31,13,12,2,N
13,12,31,13,13,2,E
13,13,31,14,13,2,N
14,13,31,12,7,8,E
14,12,31,13,7,6,S
14,11,31,13,6,6,S
14,10,31,13,5,6,S
14,9,31,13,4,6,S
14,8,31,9,7,6,S
14,7,31,9,6,6,S
14,6,31,9,6,5,S
13,6,31,10,6,3,W
12,6,31,10,5,3,W
12,5,31,10,5,2,S
11,5,31,9,5,2,W
10,5,31,9,4,2,W
10,4,31,9,4,1,S
9,4,31,9,3,1,W
9,3,23,4,14,16,S
9,4,31,3,14,16,N
9,5,31,3,14,15,N
9,6,31,3,14,14,N
9,7,31,2,14,14,N
9,8,31,2,14,13,N
9,9,31,3,14,11,N
9,10,31,3,14,10,N
9,11,31,3,14,9,N
9,12,31,3,13,7,N
9,13,31,3,14,7,N
9,14,15,3,14,6,N
8,14,15,2,14,6,W
7,14,15,3,14,4,W
6,14,15,2,14,4,W
5,14,15,2,13,4,W
5,13,31,2,14,4,S
5,14,15,1,14,4,N
4,14,15,1,14,3,W
3,14,15,1,14,2,W
2,14,15,1,14,1,W
12,10,31,13,12,3,X
12,11,31,13,12,1,N
12,12,31,5,12,7,N
11,12,31,5,12,6,W
10,12,31,5,11,6,W
10,11,31,4,11,6,S
9,11,31,4,12,6,W
9,12,31,5,12,4,N
8,12,31,6,12,2,W
7,12,31,7,7,5,W
7,11,31,7,7,4,S
7,10,31,7,8,2,S
7,9,31,6,8,2,S
7,8,31,6,9,2,S
7,9,31,14,8,8,N
8,9,31,14,7,8,E
9,9,31,14,8,6,E
10,9,31,14,8,5,E
11,9,31,14,8,4,E
12,9,31,14,7,4,E
13,9,31,13,7,2,E
13,8,31,14,7,2,S
14,8,31,14,7,1,E
12,10,31,13,12,3,X
12,11,31,13,12,2,N
12,12,31,5,12,7,N
11,12,31,5,12,6,W
10,12,31,5,12,5,W
9,12,31,5,11,5,W
9,11,31,5,12,5,S
9,12,31,4,12,5,N
8,12,31,4,11,5,W
8,11,31,3,11,5,S
7,11,31,4,11,3,W
6,11,31,4,11,2,W
5,11,23,3,11,2,W
4,11,23,2,11,2,W
3,11,23,1,11,2,W
2,11,23,5,5,9,W
3,11,23,5,5,8,E
4,11,23,4,5,6,E
5,11,23,5,5,6,E
6,11,31,5,4,8,E
6,10,27,5,5,6,S
6,9,31,6,5,4,S
6,8,31,7,5,4,S
7,8,31,8,5,4,E
8,8,31,8,6,2,E
8,7,31,7,6,2,S
8,6,31,6,6,2,S
7,6,31,6,7,2,W
7,7,31,6,8,2,N
7,8,31,6,7,2,N
7,7,31,5,7,2,S
6,7,31,5,6,2,W
6,6,31,5,6,1,S
5,6,31,15,10,14,W
5,7,31,15,9,12,N
5,8,31,15,9,11,N
5,9,15,16,9,11,N
6,9,31,17,9,11,E
7,9,31,16,9,9,E
8,9,31,16,10,9,E
8,10,31,16,9,9,N
9,10,31,15,9,7,E
10,10,31,15,10,5,E
11,10,31,15,9,5,E
12,10,31,15,9,4,E
13,10,31,16,9,4,E
14,10,31,16,10,2,E
15,10,31,16,11,2,E
15,11,31,16,12,2,N
15,12,31,16,13,2,N
15,13,31,16,12,2,N
16,13,31,16,12,1,E
12,10,31,13,12,3,X
12,11,31,13,12,2,N
12,12,31,13,7,6,N
13,12,31,13,7,5,E
13,11,31,13,8,3,S
13,10,31,13,9,1,S
13,9,31,5,6,11,S
13,8,31,5,6,10,S
13,7,31,4,6,10,S
13,6,31,5,6,8,S
12,6,31,5,6,7,W
11,6,31,5,5,7,W
11,5,31,4,5,7,S
10,5,31,4,4,7,W
10,4,31,4,3,7,S
10,3,23,3,3,7,S
9,3,23,2,3,7,W
8,3,23,3,3,5,W
7,3,23,4,3,3,W
6,3,23,3,3,3,W
5,3,23,3,3,2,W
4,3,23,3,4,2,W
4,4,31,3,5,2,N
4,5,31,5,13,9,N
4,6,31,6,13,9,N
4,7,31,7,13,9,N
4,8,31,6,13,7,N
4,9,15,7,13,7,N
5,9,15,6,13,5,E
6,9,31,5,13,5,E
6,10,27,4,13,5,N
6,11,31,4,14,5,N
6,12,31,4,13,3,N
6,13,31,3,13,3,N
5,13,31,3,12,3,W
5,12,31,3,13,3,S
5,13,31,3,14,3,N
5,14,15,2,14,3,N
4,14,15,1,14,3,W
3,14,15,1,13,3,W
3,13,31,2,13,1,S
12,10,31,13,12,3,X
12,11,31,13,12,3,N
